repository,rename,move,inline,extract,internal_move,extract_move,move_rename,internal_move_rename
ace,36,530,2,43,145,10,11,4
angular.js,0,2,0,0,0,3,0,0
async,10,0,0,0,0,0,0,0
axios,1,0,0,1,0,0,2,0
BitcoinJS,4,0,0,0,0,0,0,0
bluebird,0,0,0,15,0,52,0,0
bower,0,0,0,3,0,0,0,0
bowser,1,3,0,6,0,6,0,0
brackets,1124,106,156,669,208,52,67,5
chance,0,0,0,10,0,0,0,0
Charts.js,17,5,161,152,16,90,0,0
director,13,0,0,8,18,0,0,0
fetch,0,0,1,0,3,0,0,0
gitBook,11,0,3,1,4,1,0,3
i18next,0,0,0,1,0,0,0,0
intro.js,21,0,0,30,2,0,0,0
jquery-pjax,1,0,0,0,0,0,0,0
less.js,3,77,1,3,449,43,2,0
mocha,0,0,0,0,0,0,0,0
mousetrap,0,0,0,0,0,0,0,0
nightmare,0,2,0,1,0,1,0,0
node_restify,0,0,0,1,0,0,0,0
numbers,3,11,0,0,0,0,1,0
page.js,1,0,0,0,0,0,0,0
paper.js,64,100,4,3,1,1,0,0
pm2,3,10,0,0,0,0,1,0
pug,0,0,0,5,0,0,0,0
q,33,0,0,5,0,0,0,0
react,29,1,2,9,0,0,0,0
requireJS,0,321,0,5,2,29,7,0
reveal.js,0,0,0,8,0,0,0,0
socket.io,0,18,0,0,0,0,0,0
stylus,0,1,0,1,0,0,0,0
three.js,8,0,0,10,448,42,0,13
webtorrent,112,0,56,95,1268,175,0,7
whistle,178,0,10,128,69,14,0,6
zepto.js,1,0,0,17,0,0,0,0
atom,0,0,2,2,12,0,0,0
d3,0,0,0,0,0,0,0,0
jasmine,31,20,7,34,42,100,11,3
JShint,1,0,0,0,0,6,0,1
underscore.js,1,306,4,2,0,0,6,0
konva,4,0,0,3,1,1,4,0
mustache.js,0,0,0,0,0,0,0,0
webpack,51,311,21,36,6258,126,36,6
meteor,19,242,9,18,78,31,2,2
freecodingCamp,4,4,0,0,0,1,0,0
bootstrap,6,0,0,0,0,0,0,2
node,25,825,39,14,92,13,0,32
lealeft,0,26,0,0,0,0,0,0
total,1816,2921,478,1339,9116,797,150,84
