repository,rename,move,inline,extract,internal_move,extract_move,move_rename,internal_move_rename
ace,8,49,0,5,0,0,1,3
angular.js,0,0,0,0,0,3,0,0
async,2,0,0,0,0,0,0,0
axios,0,0,0,0,0,0,0,0
BitcoinJS,1,0,0,0,0,0,0,0
bluebird,0,0,0,0,0,0,0,0
bower,0,0,0,0,0,0,0,0
bowser,0,1,0,1,0,1,0,0
brackets,33,15,4,14,3,2,6,0
chance,0,0,0,0,0,0,0,0
Charts.js,0,3,1,7,0,2,0,0
director,3,0,0,2,7,0,0,0
fetch,0,0,0,0,0,0,0,0
gitBook,9,0,3,1,4,1,0,3
i18next,0,0,0,0,0,0,0,0
intro.js,0,0,0,0,0,0,0,0
jquery-pjax,0,0,0,0,0,0,0,0
less.js,1,15,1,0,42,0,1,0
mocha,0,0,0,0,0,0,0,0
mousetrap,0,0,0,0,0,0,0,0
nightmare,0,1,0,0,0,0,0,0
node_restify,0,0,0,0,0,0,0,0
numbers,3,2,0,0,0,0,0,0
page.js,0,0,0,0,0,0,0,0
paper.js,13,24,3,1,0,0,0,0
pm2,2,4,0,0,0,0,1,0
pug,0,0,0,2,0,0,0,0
q,7,0,0,3,0,0,0,0
react,8,0,0,0,0,0,0,0
requireJS,0,24,0,0,2,2,0,0
reveal.js,0,0,0,2,0,0,0,0
socket.io,0,0,0,0,0,0,0,0
stylus,0,1,0,0,0,0,0,0
three.js,1,0,0,0,15,0,0,1
webtorrent,17,0,8,16,191,36,0,1
whistle,54,0,5,72,6,9,0,2
zepto.js,1,0,0,2,0,0,0,0
atom,0,0,0,0,2,0,0,0
d3,0,0,0,0,0,0,0,0
jasmine,4,12,0,5,3,16,1,1
JShint,0,0,0,0,0,0,0,0
underscore.js,1,90,0,1,0,0,2,0
konva,0,0,0,0,0,0,0,0
mustache.js,0,0,0,0,0,0,0,0
webpack,8,32,3,9,328,5,1,0
meteor,5,32,2,6,3,3,0,0
freecodingCamp,4,3,0,0,0,0,0,0
bootstrap,1,0,0,0,0,0,0,0
node,7,299,5,3,8,0,0,12
lealeft,0,1,0,0,0,0,0,0
total,193,608,35,152,614,80,13,23
